ID,Name,Grad,Schule,Unterschule,Kategorie,Beschreibung,Alchemist,Antipaladin,Barde,Druide,Hexe,Hexenmeister,Inquisitor,Kampfmagus,Magier,Kleriker,Mystiker,Paktmagier,Paladin,Waldläufer,Blutwüter,Schamane,Jäger,Regelwerk,Seite
581,"<a href=""http://prd.5footstep.de/Permalink?page_id=581"" target=""_blank"">Ausbluten</a>","Schamane 0,Hexe 0,Inquisitor 0,Kleriker 0,Hexenmeister/Magier 0",Nekromantie,,,Lässt eine eigentlich stabilisierte Kreatur wieder sterben.,,,,,0,0,0,,0,0,,,,,,0,,Grundregelwerk,247
582,"<a href=""http://prd.5footstep.de/Permalink?page_id=582"" target=""_blank"">Ausdauer des Ochsen</a>","Schamane 2,Waldläufer 2,Jäger 2,Paktmagier 2,Kampfmagus 2,Kleriker 2,Hexenmeister/Magier 2,Druide 2,Blutwüter 2,Alchemist 2",Verwandlung,,,Ziel erhält 1 Min./Stufe +4 auf KO.,2,,,2,,2,,2,2,2,,2,,2,2,2,2,Grundregelwerk,247
583,"<a href=""http://prd.5footstep.de/Permalink?page_id=583"" target=""_blank"">Massen-Ausdauer des Ochsen</a>","Druide 6,Kampfmagus 6,Hexenmeister/Magier 6,Paktmagier 4,Schamane 6,Kleriker 6,Jäger 6",Verwandlung,,,"Wie Ausdauer des Ochsen, kann aber 1 Ziel/Stufe betreffen.",,,,6,,6,,6,6,6,,4,,,,6,6,Grundregelwerk,247
584,"<a href=""http://prd.5footstep.de/Permalink?page_id=584"" target=""_blank"">Ausspähende Augen</a>","Hexe 5,Hexenmeister/Magier 5",Erkenntnis,,,1W4 +1/Stufe schwebende Augen spionieren für dich.,,,,,5,5,,,5,,,,,,,,,Grundregelwerk,248
585,"<a href=""http://prd.5footstep.de/Permalink?page_id=585"" target=""_blank"">Mächtige Ausspähende Augen</a>","Hexe 8,Hexenmeister/Magier 8",Erkenntnis,,,"Wie Ausspähende Augen, Augen verfügen aber auch über Wahrer Blick.",,,,,8,8,,,8,,,,,,,,,Grundregelwerk,248
586,"<a href=""http://prd.5footstep.de/Permalink?page_id=586"" target=""_blank"">Ausspähung</a>","Kleriker 5,Druide 4,Hexenmeister/Magier 4,Barde 3,Schamane 4,Hexe 4,Jäger 4",Erkenntnis,Ausspähung,,&lt;sup&gt;F&lt;/sup&gt;Spioniert ein Ziel auf Entfernung aus.,,,3,4,4,4,,,4,5,,,,,,4,4,Grundregelwerk,248
587,"<a href=""http://prd.5footstep.de/Permalink?page_id=587"" target=""_blank"">Mächtige Ausspähung</a>","Kleriker 7,Druide 7,Hexenmeister/Magier 7,Barde 6,Schamane 7,Hexe 7",Erkenntnis,Ausspähung,,"Wie Ausspähung, wirkt aber schneller und länger.",,,6,7,7,7,,,7,7,,,,,,7,,Grundregelwerk,248
588,"<a href=""http://prd.5footstep.de/Permalink?page_id=588"" target=""_blank"">Ausspähung entdecken</a>","Inquisitor 4,Hexenmeister/Magier 4,Schamane 4,Barde 4,Hexe 4",Erkenntnis,,,Mach dich auf magische Beobachtung aufmerksam.,,,4,,4,4,4,,4,,,,,,,4,,Grundregelwerk,249
589,"<a href=""http://prd.5footstep.de/Permalink?page_id=589"" target=""_blank"">Austilgen</a>","Barde 1,Hexenmeister/Magier 1",Verwandlung,,,Lässt normale oder magische Schrift verschwinden.,,,1,,,1,,,1,,,,,,,,,Grundregelwerk,249
590,"<a href=""http://prd.5footstep.de/Permalink?page_id=590"" target=""_blank"">Bärenstärke</a>","Druide 2,Hexenmeister/Magier 2,Alchemist 2,Blutwüter 2,Paladin 2,Schamane 2,Paktmagier 2,Kampfmagus 2,Jäger 2,Kleriker 2,Antipaladin 2",Verwandlung,,,Ziel erhält 1 Min./Stufe +4 auf ST.,2,2,,2,,2,,2,2,2,,2,2,,2,2,2,Grundregelwerk,249
591,"<a href=""http://prd.5footstep.de/Permalink?page_id=591"" target=""_blank"">Massen-Bärenstärke</a>","Druide 6,Kampfmagus 6,Hexenmeister/Magier 6,Paktmagier 4,Schamane 6,Kleriker 6,Jäger 6",Verwandlung,,,"Wie Bärenstärke, betrifft aber 1 Kreatur/Stufe.",,,,6,,6,,6,6,6,,4,,,,6,6,Grundregelwerk,249
592,"<a href=""http://prd.5footstep.de/Permalink?page_id=592"" target=""_blank"">Bauchreden</a>","Hexenmeister/Magier 1,Barde 1,Paktmagier 1",Illusion,Einbildung,,Projiziert deine Stimme 1 Min./Stufe woanders hin.,,,1,,,1,,,1,,,1,,,,,,Grundregelwerk,249
593,"<a href=""http://prd.5footstep.de/Permalink?page_id=593"" target=""_blank"">Baum</a>","Schamane 2,Jäger 2,Druide 2,Waldläufer 3",Verwandlung,,,Du siehst 1 Stunde/Stufe genau wie ein Baum aus.,,,,2,,,,,,,,,,3,,2,2,Grundregelwerk,249
594,"<a href=""http://prd.5footstep.de/Permalink?page_id=594"" target=""_blank"">Befehl</a>","Hexe 1,Inquisitor 1,Kleriker 1,Antipaladin 1",Verzauberung,Zwang,"Geistesbeeinflussung,Sprachabhängig",Ein Ziel befolgt den erteilten Befehl 1 Runde lang.,,1,,,1,,1,,,1,,,,,,,,Grundregelwerk,249
595,"<a href=""http://prd.5footstep.de/Permalink?page_id=595"" target=""_blank"">Mächtiger Befehl</a>","Inquisitor 5,Kleriker 5",Verzauberung,Zwang,"Geistesbeeinflussung,Sprachabhängig","Wie Befehl, betrifft aber ein Ziel/Stufe.",,,,,,,5,,,5,,,,,,,,Grundregelwerk,250
596,"<a href=""http://prd.5footstep.de/Permalink?page_id=596"" target=""_blank"">Befreiung</a>",Hexenmeister/Magier 9,Bannzauber,,,Befreit Kreatur aus Einkerkerung.,,,,,,9,,,9,,,,,,,,,Grundregelwerk,250
597,"<a href=""http://prd.5footstep.de/Permalink?page_id=597"" target=""_blank"">Begrenzter Wunsch</a>",Hexenmeister/Magier 7,Allgemein,,,Verändert die Realität innerhalb der durch den Zauber vorgegebenen Grenzen.,,,,,,7,,,7,,,,,,,,,Grundregelwerk,250
598,"<a href=""http://prd.5footstep.de/Permalink?page_id=598"" target=""_blank"">Behindernde Hand</a>","Kampfmagus 5,Hexenmeister/Magier 5",Hervorrufung,,Energie,Hand verleiht Deckung gegen einen Gegner.,,,,,,5,,5,5,,,,,,,,,Grundregelwerk,250
599,"<a href=""http://prd.5footstep.de/Permalink?page_id=599"" target=""_blank"">Beistand</a>","Inquisitor 2,Kleriker 2,Alchemist 2,Schamane 2",Verzauberung,Zwang,Geistesbeeinflussung,"+1 auf Angriffswürfe und Rettungswürfe gegen Furcht, 1W8 temporäre TP +1/Stufe (max. +10).",2,,,,,,2,,,2,,,,,,2,,Grundregelwerk,251
600,"<a href=""http://prd.5footstep.de/Permalink?page_id=600"" target=""_blank"">Beliebiges verwandeln</a>",Hexenmeister/Magier 8,Verwandlung,Gestaltwechsel,,Verwandelt das Ziel in irgendetwas anderes.,,,,,,8,,,8,,,,,,,,,Grundregelwerk,251
601,"<a href=""http://prd.5footstep.de/Permalink?page_id=601"" target=""_blank"">Benommenheit</a>","Kampfmagus 0,Barde 0,Hexenmeister/Magier 0,Hexe 0,Schamane 0,Inquisitor 0,Paktmagier 0",Verzauberung,Zwang,Geistesbeeinflussung,Humanoide Kreatur mit 4 oder weniger TP verliert ihre nächste Aktion.,,,0,,0,0,0,0,0,,,0,,,,0,,Grundregelwerk,251
603,"<a href=""http://prd.5footstep.de/Permalink?page_id=603"" target=""_blank"">Bestiengestalt I</a>","Alchemist 3,Kampfmagus 3,Hexenmeister/Magier 3,Blutwüter 3",Verwandlung,Gestaltwechsel,,Du nimmst die Gestalt eines kleinen oder mittelgroßen Tieres an und erhältst einige seiner Fähigkeiten.,3,,,,,3,,3,3,,,,,,3,,,Grundregelwerk,251
604,"<a href=""http://prd.5footstep.de/Permalink?page_id=604"" target=""_blank"">Bestiengestalt II</a>","Alchemist 4,Kampfmagus 4,Hexenmeister/Magier 4,Blutwüter 4",Verwandlung,Gestaltwechsel,,Du nimmst die Gestalt eines sehr kleinen oder bis zu großen Tieres sowie einige seiner Eigenschaften an.,4,,,,,4,,4,4,,,,,,4,,,Grundregelwerk,251
605,"<a href=""http://prd.5footstep.de/Permalink?page_id=605"" target=""_blank"">Bestiengestalt III</a>","Alchemist 5,Kampfmagus 5,Hexenmeister/Magier 5",Verwandlung,Gestaltwechsel,,Du kannst die Gestalt eines winzigen oder bis zu riesigen Tieres oder einer kleinen oder mittelgroßen magischen Bestie annehmen.,5,,,,,5,,5,5,,,,,,,,,Grundregelwerk,252
606,"<a href=""http://prd.5footstep.de/Permalink?page_id=606"" target=""_blank"">Bestiengestalt IV</a>","Alchemist 6,Hexenmeister/Magier 6",Verwandlung,Gestaltwechsel,,Du kannst die Gestalt eines winzigen oder bis zu riesigen Tieres oder einer sehr kleinen oder bis zu großen magischen Bestie annehmen.,6,,,,,6,,,6,,,,,,,,,Grundregelwerk,252
607,"<a href=""http://prd.5footstep.de/Permalink?page_id=607"" target=""_blank"">Bewegungsfreiheit</a>","Alchemist 4,Barde 4,Waldläufer 4,Inquisitor 4,Jäger 4,Kleriker 4,Druide 4",Bannzauber,,,Ziel kann sich trotz Behinderungen normal bewegen.,4,,4,4,,,4,,,4,,,,4,,,4,Grundregelwerk,252
608,"<a href=""http://prd.5footstep.de/Permalink?page_id=608"" target=""_blank"">Bindender Ruf</a>","Paktmagier 5,Hexenmeister/Magier 6,Elementarmagier (Allgemein) 6",Beschwörung,Herbeirufung,,"Wie Schwächerer Bindender Ruf, betrifft aber Kreaturen mit bis zu 12 TW.",,,,,,6,,,6,,,5,,,,,,Grundregelwerk,252
609,"<a href=""http://prd.5footstep.de/Permalink?page_id=609"" target=""_blank"">Mächtiger Bindender Ruf</a>","Paktmagier 6,Hexenmeister/Magier 8,Elementarmagier (Allgemein) 8",Beschwörung,Herbeirufung,,"Wie Schwächerer Bindender Ruf, betrifft aber bis zu 18 TW.",,,,,,8,,,8,,,6,,,,,,Grundregelwerk,252
610,"<a href=""http://prd.5footstep.de/Permalink?page_id=610"" target=""_blank"">Schwächerer Bindender Ruf</a>","Paktmagier 4,Hexenmeister/Magier 5,Elementarmagier (Allgemein) 5",Beschwörung,Herbeirufung,,"Hält eine extraplanare Kreautr mit 6 oder weniger TW gefangen, bis sie eine Aufgabe erledigt hat.",,,,,,5,,,5,,,4,,,,,,Grundregelwerk,252
611,"<a href=""http://prd.5footstep.de/Permalink?page_id=611"" target=""_blank"">Blasphemie</a>","Inquisitor 6,Kleriker 7",Hervorrufung,,"Böses,Schall","Tötet, lähmt, schwächt oder macht nicht böse Kreaturen benommen.",,,,,,,6,,,7,,,,,,,,Grundregelwerk,253
612,"<a href=""http://prd.5footstep.de/Permalink?page_id=612"" target=""_blank"">Blind oder Taubheit kurieren</a>","Schamane 3,Hexe 3,Kleriker 3,Alchemist 3,Paladin 3",Beschwörung,Heilung,,Heilt normale oder magische Blind- oder Taubheit.,3,,,,3,,,,,3,,,3,,,3,,Grundregelwerk,253
613,"<a href=""http://prd.5footstep.de/Permalink?page_id=613"" target=""_blank"">Blind oder Taubheit verursachen</a>","Hexenmeister/Magier 2,Barde 2,Blutwüter 2,Hexe 2,Kleriker 3,Antipaladin 2",Nekromantie,,Fluch,Lässt ein Ziel erblinden oder taub werden.,,2,2,,2,2,,,2,3,,,,,2,,,Grundregelwerk,252
614,"<a href=""http://prd.5footstep.de/Permalink?page_id=614"" target=""_blank"">Blitz</a>","Blutwüter 3,Hexe 3,Kampfmagus 3,Hexenmeister/Magier 3,Elementarmagier (Luft) 3",Hervorrufung,,Elektrizität,Elektrizität verursacht 1W6 Schaden/Stufe.,,,,,3,3,,3,3,,,,,,3,,,Grundregelwerk,254
615,"<a href=""http://prd.5footstep.de/Permalink?page_id=615"" target=""_blank"">Blitze herbeirufen</a>","Druide 3,Schamane 3,Jäger 3",Hervorrufung,,Elektrizität,Ruft Blitze vom Himmel herab (3W6 pro Blitz).,,,,3,,,,,,,,,,,,3,3,Grundregelwerk,254
616,"<a href=""http://prd.5footstep.de/Permalink?page_id=616"" target=""_blank"">Böser Blick</a>","Barde 6,Hexe 6,Alchemist 6,Hexenmeister/Magier 6",Nekromantie,,"Gefühl,Schmerz","Ziel verfällt in Panik, wird krank und fällt ins Koma.",6,,6,,6,6,,,6,,,,,,,,,Grundregelwerk,254
617,"<a href=""http://prd.5footstep.de/Permalink?page_id=617"" target=""_blank"">Böses bannen</a>","Inquisitor 5,Kleriker 5,Paladin 4,Schamane 5",Bannzauber,,Gutes,Bonus von +4 gegen Angriffe böser Kreaturen.,,,,,,,5,,,5,,,4,,,5,,Grundregelwerk,254
618,"<a href=""http://prd.5footstep.de/Permalink?page_id=618"" target=""_blank"">Böses entdecken</a>","Inquisitor 1,Kleriker 1,Schamane 1",Erkenntnis,,,"Entdeckt Kreaturen, Zauber oder Gegenstände der 
entsprechenden Gesinnung.",,,,,,,1,,,1,,,,,,1,,Grundregelwerk,254
622,"<a href=""http://prd.5footstep.de/Permalink?page_id=622"" target=""_blank"">Drachengestalt I</a>","Alchemist 6,Kampfmagus 6,Hexenmeister/Magier 6",Verwandlung,Gestaltwechsel,,Du kannst dich in einen mittelgroßen Drachen verwandeln.,6,,,,,6,,6,6,,,,,,,,,Grundregelwerk,261
623,"<a href=""http://prd.5footstep.de/Permalink?page_id=623"" target=""_blank"">Drachengestalt II</a>",Hexenmeister/Magier 7,Verwandlung,Gestaltwechsel,,Du kannst dich in einen großen Drachen verwandeln.,,,,,,7,,,7,,,,,,,,,Grundregelwerk,261
624,"<a href=""http://prd.5footstep.de/Permalink?page_id=624"" target=""_blank"">Drachengestalt III</a>",Hexenmeister/Magier 8,Verwandlung,Gestaltwechsel,,Du kannst dich in einen riesigen Drachen verwandeln.,,,,,,8,,,8,,,,,,,,,Grundregelwerk,261
625,"<a href=""http://prd.5footstep.de/Permalink?page_id=625"" target=""_blank"">Böswillige Verwandlung</a>","Hexenmeister/Magier 5,Hexe 5,Schamane 5,Paktmagier 4,Jäger 5,Druide 5,Kampfmagus 5",Verwandlung,Gestaltwechsel,,Verwandelt ein Ziel in ein harmloses Tier.,,,,5,5,5,,5,5,,,4,,,,5,5,Grundregelwerk,255
626,"<a href=""http://prd.5footstep.de/Permalink?page_id=626"" target=""_blank"">Botschaft</a>","Elementarmagier (Luft) 0,Barde 0,Hexe 0,Paktmagier 0,Hexenmeister/Magier 0",Verwandlung,,Sprachabhängig,Geflüsterte Unterhaltung auf Entfernung.,,,0,,0,0,,,0,,,0,,,,,,Grundregelwerk,255
627,"<a href=""http://prd.5footstep.de/Permalink?page_id=627"" target=""_blank"">Brennende Hände</a>","Blutwüter 1,Hexe 1,Schamane 1,Kampfmagus 1,Hexenmeister/Magier 1,Elementarmagier (Feuer) 1",Hervorrufung,,Feuer,1W4 Feuerschaden pro Stufe (max. 5W4).,,,,,1,1,,1,1,,,,,,1,1,,Grundregelwerk,256
628,"<a href=""http://prd.5footstep.de/Permalink?page_id=628"" target=""_blank"">Brüllen</a>","Blutwüter 4,Barde 4,Kampfmagus 4,Hexenmeister/Magier 4,Elementarmagier (Luft) 4",Hervorrufung,,Schall,Macht alle in einem Kegel taub und verursacht 5W6 Schallschaden.,,,4,,,4,,4,4,,,,,,4,,,Grundregelwerk,256
629,"<a href=""http://prd.5footstep.de/Permalink?page_id=629"" target=""_blank"">Mächtiges Brüllen</a>","Barde 6,Hexenmeister/Magier 8,Elementarmagier (Luft) 8",Hervorrufung,,Schall,Verheerender Schrei verursacht 10W6 Schallschaden; betäubt Kreaturen.,,,6,,,8,,,8,,,,,,,,,Grundregelwerk,256
630,"<a href=""http://prd.5footstep.de/Permalink?page_id=630"" target=""_blank"">Buße</a>","Druide 5,Jäger 5,Inquisitor 5,Kleriker 5",Bannzauber,,,&lt;sup&gt;FM&lt;/sup&gt;Befreit das Ziel von seinen Verfehlungen.,,,,5,,,5,,,5,,,,,,,5,Grundregelwerk,256
631,"<a href=""http://prd.5footstep.de/Permalink?page_id=631"" target=""_blank"">Chaoshammer</a>","Inquisitor 4,Kleriker 4",Hervorrufung,,Chaos,Schadet rechtschaffenen Kreaturen und verlangsamt sie (1W8 SP/2 Stufen).,,,,,,,4,,,4,,,,,,,,Grundregelwerk,256
632,"<a href=""http://prd.5footstep.de/Permalink?page_id=632"" target=""_blank"">Chaotisches bannen</a>","Paladin 4,Schamane 5,Inquisitor 5,Kleriker 5",Bannzauber,,Ordnung,+4 Bonus gegen Angriffe.,,,,,,,5,,,5,,,4,,,5,,Grundregelwerk,257
633,"<a href=""http://prd.5footstep.de/Permalink?page_id=633"" target=""_blank"">Chaotisches entdecken</a>","Schamane 1,Inquisitor 1,Kleriker 1",Erkenntnis,,,"Entdeckt Kreaturen, Zauber oder Gegenstände der entsprechenden Gesinnung.",,,,,,,1,,,1,,,,,,1,,Grundregelwerk,257
634,"<a href=""http://prd.5footstep.de/Permalink?page_id=634"" target=""_blank"">Dauerhafte Flamme</a>","Hexenmeister/Magier 2,Inquisitor 3,Kleriker 3",Hervorrufung,,Licht,"&lt;sup&gt;M&lt;/sup&gt;Erschafft eine dauerhafte Fackel, die keine Hitze verbreitet.",,,,,,2,3,,2,3,,,,,,,,Grundregelwerk,257
635,"<a href=""http://prd.5footstep.de/Permalink?page_id=635"" target=""_blank"">Dauerhaftes Trugbild</a>","Barde 6,Hexenmeister/Magier 6",Illusion,Einbildung,,"Beinhaltet Bilder, Gerüche, Geräusche und Wärmeeffekte.",,,6,,,6,,,6,,,,,,,,,Grundregelwerk,257
636,"<a href=""http://prd.5footstep.de/Permalink?page_id=636"" target=""_blank"">Dauerhaftigkeit</a>",Hexenmeister/Magier 5,Allgemein,,,&lt;sup&gt;M&lt;/sup&gt;Macht manche Zauber permanent.,,,,,,5,,,5,,,,,,,,,Grundregelwerk,257
637,"<a href=""http://prd.5footstep.de/Permalink?page_id=637"" target=""_blank"">Des Magiers Privates Heiligtum</a>",Hexenmeister/Magier 5,Bannzauber,,,"Hindert jeden für 24 Stunden daran, einen Bereich zu sehen oder aufzuspüren.",,,,,,5,,,5,,,,,,,,,Grundregelwerk,258
638,"<a href=""http://prd.5footstep.de/Permalink?page_id=638"" target=""_blank"">Des Magiers Erinnerung</a>",Hexenmeister/Magier 6,Verwandlung,,,(Nur Magier) Du kannst dir einen Zauber des 5. oder niedrigeren Grades wieder in Erinnerung rufen.,,,,,,6,,,6,,,,,,,,,Grundregelwerk,258
639,"<a href=""http://prd.5footstep.de/Permalink?page_id=639"" target=""_blank"">Des Magiers herrliches Herrenhaus</a>",Hexenmeister/Magier 7,Beschwörung,Erschaffung,,Tür führt in ein außerdimensionales Herrenhaus.,,,,,,7,,,7,,,,,,,,,Grundregelwerk,258
640,"<a href=""http://prd.5footstep.de/Permalink?page_id=640"" target=""_blank"">Des Magiers Schwert</a>",Hexenmeister/Magier 7,Hervorrufung,,Energie,&lt;sup&gt;F&lt;/sup&gt;Schwebende magische Klinge greift Gegener an.,,,,,,7,,,7,,,,,,,,,Grundregelwerk,258
